"user_id","user_sex","user_age","user_country","rating","comment","favourite_character","date"
0,"female",50,"Germany",2.5,"""The transitions between scenes were awkward, and the soundtrack was forgettable.""","Severus Snape","2004-12-27"
1,"female",23,"Spain",4,"""Severus Snape's role adds an intriguing layer.""","Severus Snape","2003-11-22"
2,"male",32,"France",3,"""The pacing was a bit slow, but the characters were charming.""","Ron Weasley","2005-09-16"
3,"female",24,"Turkey",4.5,"""Hagrid's love for magical creatures is heartwarming.""","Rubeus Hagrid","2002-09-17"
4,"female",40,"Spain",5,"""Neville Longbottom's courage is awe-inspiring.""","Neville Longbottom","2004-10-17"
5,"female",16,"Finland",5,"""Rubeus Hagrid's love for magical creatures is endearing.""","Rubeus Hagrid","2002-12-02"
6,"male",26,"Germany",4,"""Severus Snape's complexity adds depth to the story.""","Severus Snape","2005-11-28"
7,"female",28,"Sweden",2.5,"""Albus Dumbledore's presence feels unnecessary and distracting.""","Albus Dumbledore","2005-02-10"
8,"female",52,"Switzerland",4,"""Ron Weasley's humor adds a delightful touch.""","Ron Weasley","2002-02-02"
9,"female",46,"Turkey",4.5,"""Hermione Granger's determination is inspiring.""","Hermione Granger","2005-12-02"
10,"male",34,"Switzerland",4,"""The seamless transitions between scenes added to the overall magic.""","Hermione Granger","2002-09-01"
11,"male",51,"Switzerland",5,"""A magical adventure with a touch of nostalgia.""","Albus Dumbledore","2005-07-23"
12,"male",38,"Sweden",3,"""The character development was lacking, and the story felt uninspired.""","Ron Weasley","2004-08-05"
13,"male",47,"Germany",5,"""The special effects were outstanding!""","Hermione Granger","2005-03-16"
14,"male",39,"Spain",4.5,"""A magical masterpiece for the ages.""","Harry Potter","2003-09-16"
15,"female",20,"Sweden",4,"""Hermione Granger's intelligence is a key asset.""","Hermione Granger","2002-08-16"
16,"other",31,"Belgium",5,"""The magical world is brought to life with stunning visuals.""","Hermione Granger","2004-01-06"
17,"female",22,"Switzerland",3.5,"""Draco Malfoy's character adds tension and intrigue.""","Draco Malfoy","2005-05-11"
18,"female",57,"Switzerland",5,"""The setting at Hogwarts is magical and captivating.""","Ron Weasley","2003-05-20"
19,"female",30,"France",2,"""The pacing dragged, and the visual effects were unimpressive.""","Ron Weasley","2005-08-19"
